brand,item,observed_sale_price_krw,confirmed_regular_price_krw,confirmed_current_sale_price_krw,source_url,observed_at,verification_status,notes
라코스테,레터링 루즈핏 폴로 셔츠,107400,,,https://www.lacoste.com/kr/PF8601-55G.html?color=XFJ,2026-06-16,검색확인,"네이버 검색으로 라코스테 공식 URL 확인. 직접 접속은 403 차단. 정가/실판매가 분리 미확인. 가격은 원자료 관측값으로만 보관."
라코스테,뱃지 반팔 폴로셔츠,118300,,,https://www.lacoste.com/kr/lacoste/men/%EC%9D%98%EB%A5%98/%ED%8F%B4%EB%A1%9C/PH8307-55N.html,2026-06-16,검색확인,"네이버 검색으로 라코스테 공식 URL 확인. 직접 접속은 403 차단. 정가/실판매가 분리 미확인. 가격은 원자료 관측값으로만 보관."
타미힐피거,반팔 폴로 셔츠,111300,,,https://prod.danawa.com/info/?pcode=49251665,2026-06-16,불완전,"검색 상위 다나와 페이지는 '타미힐피거 1+1 스몰로고 피케 폴로 셔츠 PK 반팔_13H18'로 원자료 일반명과 정확히 일치하지 않음. 원문 URL 재확인 필요."
타미힐피거,Modern Athleisure 긴팔 티셔츠,97300,,,https://m.shoppinghow.kakao.com/m/product/C5180498873/,2026-06-16,불완전,"카카오 쇼핑하우 URL 후보만 확인. 페이지 직접 추출에서 제목·가격을 확보하지 못함. 가격은 원자료 관측값으로만 보관."
브룩스브라더스,OCBD 셔츠 그린,98100,,,https://www.brooksbrothers.co.kr/product/online-exclusive-%EB%82%A8%EC%84%B1-ocbd-%EC%85%94%EC%B8%A0-%EA%B7%B8%EB%A6%B0/2386/category/875/display/1/,2026-06-16,검색확인,"네이버 검색 결과로 공식 URL 확인. 직접 접속은 404로 전환되어 현재 가격 추출 불가. 가격은 원자료 관측값으로만 보관."
브룩스브라더스,프라이데이 옥스포드 팝오버 셔츠,107400,179000,107400,https://brooksbrothers.co.kr/product/%ED%94%84%EB%9D%BC%EC%9D%B4%EB%8D%B0%EC%9D%B4-%EC%98%A5%EC%8A%A4%ED%8F%AC%EB%93%9C-%ED%8C%9D%EC%98%A4%EB%B2%84-%EC%85%94%EC%B8%A0-%EB%B8%94%EB%A3%A8/5290/,2026-06-16,확인,"브룩스브라더스 공식몰 상품명 일치. 2026-06-17 페이지에서 179,000원/107,400원 동시 노출."
지오지아,린넨 블렌드 패턴 자켓,129000,,,https://www.coupang.com/vp/products/9414297259,2026-06-16,검색확인,"네이버 검색 결과 쿠팡 URL 후보 확인. 직접 접속은 403 차단. 다른 검색 결과에는 AAF2KG1102/ADF2KG1802 등 유사 품번 혼재. 원문 URL 추가 확인 필요."
올젠,남성 여름 해링턴 점퍼,89000,,82760,https://prod.danawa.com/info/?pcode=107495405,2026-06-16,부분확인,"다나와 원문 제목은 '올젠 남성 여름 해링턴 점퍼 ZPF2JJ1501NV 95'. 2026-06-17 현재 82,760원 등으로 변동. 정가 분리 불가."
닥스,레귤러핏 드레스셔츠 7종 택일,74100,,69000,https://www.halfclub.com/product/421648270,2026-06-16,부분확인,"하프클럽 닥스셔츠 상품 URL 확인. 2026-06-17 직접 추출가는 69,000원. 원자료의 7종 택일 묶음과 현재 상세 상품명이 완전히 같지는 않으므로 변동 가능."
커스텀멜로우,바이오 리사이클 평직 유니크 셔츠,104490,129000,103200,https://www.kolonmall.com/Product/K1745902015731039BL01,2026-06-16,확인,"코오롱몰 상품명 일치. 2026-06-17 schema.org price 103,200원, 커스텀어스 공식몰 정가 129,000원 확인. 원자료 104,490원은 당시 Google Shopping/판매처 할인값으로 보관."
폴로 랄프 로렌,클래식핏 폴로 베어 옥스포드 셔츠,299000,,,https://www.ralphlauren.co.kr/%ED%81%B4%EB%9E%98%EC%8B%9D%ED%95%8F-%ED%8F%B4%EB%A1%9C-%EB%B2%A0%EC%96%B4-%EC%98%A5%EC%8A%A4%ED%8F%AC%EB%93%9C-%EC%85%94%EC%B8%A0-657039.html,2026-06-16,검색확인,"네이버 검색으로 랄프 로렌 공식 URL 확인. 직접 접속은 307/403 차단. 가격은 원자료 관측값으로 보관."
폴로 랄프 로렌,커스텀 슬림 베어 퍼포먼스 폴로 셔츠,189000,,,https://www.ralphlauren.co.kr/custom-slim-bear-performance-polo-shirt-624686.html,2026-06-16,검색확인,"네이버 검색으로 랄프 로렌 공식 URL 확인. 직접 접속은 307/403 차단. 가격은 원자료 관측값으로 보관."
폴로 랄프 로렌,클래식핏 옥스포드 셔츠,219000,,,https://www.ralphlauren.co.kr/%ED%81%B4%EB%9E%98%EC%8B%9D%ED%95%8F-%EC%98%A5%EC%8A%A4%ED%8F%AC%EB%93%9C-%EC%85%94%EC%B8%A0-638591.html?dwvar638591_colorname=BSR%20Blue,2026-06-16,검색확인,"네이버 검색으로 랄프 로렌 공식 URL 확인. 직접 접속은 307/403 차단. 가격은 원자료 관측값으로 보관."
폴로 랄프 로렌,클래식핏 리넨 실크 워크셔츠,439000,,,https://www.ralphlauren.co.kr/%ED%81%B4%EB%9E%98%EC%8B%9D%ED%95%8F-%EB%A6%AC%EB%84%A8-%EC%8B%A4%ED%81%AC-%EC%9B%8C%ED%81%AC%EC%85%94%EC%B8%A0-100093181.html,2026-06-16,검색확인,"네이버 검색으로 랄프 로렌 공식 URL 확인. 직접 접속은 307/403 차단. 가격은 원자료 관측값으로 보관."
Theory,Men Motion Wool Standard Pants,435100,458000,435100,https://www.ssfshop.com/Theory/GM0026020555269/good,2026-06-16,확인,"SSF Shop 상품명 일치. 2026-06-17 schema.org price 435,100원, 페이지 내 정가 458,000원 및 할인 22,900원 확인."
Theory,Men Precision Ponte Terrance Pants,167200,418000,250800,https://www.ssfshop.com/Theory/GM0024110773629/good,2026-06-16,수정필요,"SSF Shop 상품명 일치. 2026-06-17 현재 판매가 250,800원, 정가 418,000원, 할인금액 167,200원 확인. 원자료 가격 167,200원은 판매가가 아니라 할인금액을 잡았을 가능성이 큼."
Theory,Men Outer Blend Active Pant,183200,,,https://www.ssfshop.com/Theory/GM0025082555149/good,2026-06-16,검색확인,"네이버 검색에서 SSF Shop URL 후보 확인. 2026-06-17 직접 접속 결과 제목·가격이 비어 있어 현재 가격 재검증 실패. 가격은 원자료 관측값으로 보관."
Theory,Men Active Nylon Standard Pants,397100,418000,397100,https://www.ssfshop.com/Theory/GM0026021974411/good,2026-06-16,확인,"SSF Shop 상품명 일치. 2026-06-17 schema.org price 397,100원, 페이지 내 정가 418,000원 및 할인 20,900원 확인."
갤럭시,New Design Outer 워싱 초어 재킷,314640,690000,215280,https://www.ssfshop.com/GALAXY/GM0025020648758/good,2026-06-16,수정필요,"SSF Shop 상품명 일치. 2026-06-17 현재 판매가 215,280원, 정가 690,000원, 쿠폰/할인 정보 474,720원 확인. 원자료 314,640원과 현재 판매가 차이가 커 변동 가능값."
갤럭시,울 마이크로체크 레귤러핏 수트 재킷,353970,690000,372600,https://www.shinsegaev.com/goods/initDetailGoods.siv?goods_no=2503306391,2026-06-16,부분확인,"신세계V 상품명·품번 GA5301U41M 일치. 2026-06-17 페이지에서 정가 690,000원, 판매가 후보 372,600원 및 카드가 279,450원 등 확인. 원자료 353,970원은 당시 판매처/할인 조건 차이 가능."
빈폴,리넨 솔리드 레귤러숏 셔츠,179100,199000,179100,https://www.ssfshop.com/ssf/GM0026031109062/good,2026-06-16,확인,"SSF Shop 상품명 일치. 2026-06-17 schema.org price 179,100원, 페이지 내 정가 199,000원 및 할인 19,900원 확인."
